x,y1,y2
0.661,0.190925,0.277994
0.662,0.189517,0.278296
0.663,0.188107,0.278596
0.664,0.186693,0.278892
0.665,0.185277,0.279185
0.666,0.183857,0.279475
0.667,0.182435,0.279762
0.668,0.181009,0.280045
0.669,0.179581,0.280326
0.67,0.17815,0.280603
0.671,0.176716,0.280877
0.672,0.175279,0.281148
0.673,0.173839,0.281415
0.674,0.172397,0.28168
0.675,0.170952,0.281941
0.676,0.169504,0.282199
0.677,0.168053,0.282453
0.678,0.1666,0.282705
0.679,0.165144,0.282953
0.68,0.163686,0.283198
0.681,0.162224,0.283439
0.682,0.160761,0.283677
0.683,0.159294,0.283912
0.684,0.157825,0.284144
0.685,0.156354,0.284372
0.686,0.15488,0.284597
0.687,0.153404,0.284819
0.688,0.151925,0.285037
0.689,0.150443,0.285252
0.69,0.14896,0.285463
0.691,0.147474,0.285671
0.692,0.145985,0.285876
0.693,0.144494,0.286077
0.694,0.143001,0.286275
0.695,0.141506,0.28647
0.696,0.140008,0.286661
0.697,0.138508,0.286849
0.698,0.137006,0.287033
0.699,0.135502,0.287214
0.7,0.133995,0.287391
0.701,0.132487,0.287565
0.702,0.130976,0.287735
0.703,0.129463,0.287902
0.704,0.127948,0.288066
0.705,0.126431,0.288226
0.706,0.124912,0.288382
0.707,0.123391,0.288535
0.708,0.121868,0.288685
0.709,0.120343,0.288831
0.71,0.118817,0.288973
0.711,0.117288,0.289112
0.712,0.115757,0.289248
0.713,0.114225,0.28938
0.714,0.11269,0.289508
0.715,0.111154,0.289633
0.716,0.109617,0.289754
0.717,0.108077,0.289872
0.718,0.106536,0.289986
0.719,0.104992,0.290097
0.72,0.103448,0.290203
0.721,0.101901,0.290307
0.722,0.100353,0.290407
0.723,0.098804,0.290503
0.724,0.097252,0.290595
0.725,0.0957,0.290684
0.726,0.094145,0.29077
0.727,0.09259,0.290851
0.728,0.091032,0.290929
0.729,0.089474,0.291004
0.73,0.087913,0.291074
0.731,0.086352,0.291142
0.732,0.084789,0.291205
0.733,0.083225,0.291265
0.734,0.081659,0.291321
0.735,0.080092,0.291373
0.736,0.078524,0.291422
0.737,0.076954,0.291467
0.738,0.075384,0.291509
0.739,0.073812,0.291546
0.74,0.072239,0.29158
0.741,0.070664,0.291611
0.742,0.069089,0.291637
0.743,0.067512,0.29166
0.744,0.065935,0.29168
0.745,0.064356,0.291695
0.746,0.062776,0.291707
0.747,0.061196,0.291715
0.748,0.059614,0.291719
0.749,0.058032,0.29172
0.75,0.056448,0.291716
0.751,0.054864,0.291709
0.752,0.053278,0.291699
0.753,0.051692,0.291684
0.754,0.050105,0.291666
0.755,0.048517,0.291644
0.756,0.046929,0.291618
0.757,0.045339,0.291589
0.758,0.043749,0.291556
0.759,0.042159,0.291519
0.76,0.040567,0.291478
0.761,0.038975,0.291433
0.762,0.037382,0.291385
0.763,0.035789,0.291333
0.764,0.034195,0.291277
0.765,0.032601,0.291217
0.766,0.031006,0.291153
0.767,0.02941,0.291086
0.768,0.027815,0.291015
0.769,0.026218,0.29094
0.77,0.024621,0.290861
0.771,0.023024,0.290778
0.772,0.021427,0.290692
0.773,0.019829,0.290601
0.774,0.018231,0.290507
0.775,0.016632,0.290409
0.776,0.015034,0.290308
0.777,0.013435,0.290202
0.778,0.011835,0.290093
0.779,0.010236,0.289979
0.78,0.008636,0.289862
0.781,0.007037,0.289741
0.782,0.005437,0.289617
0.783,0.003837,0.289488
0.784,0.002237,0.289356
0.785,0.000637,0.289219
0.786,-0.000963,0.289079
0.787,-0.002563,0.288935
0.788,-0.004163,0.288787
0.789,-0.005763,0.288636
0.79,-0.007363,0.28848
0.791,-0.008962,0.288321
0.792,-0.010562,0.288157
0.793,-0.012161,0.28799
0.794,-0.01376,0.287819
0.795,-0.015359,0.287644
0.796,-0.016958,0.287466
0.797,-0.018556,0.287283
0.798,-0.020154,0.287096
0.799,-0.021752,0.286906
0.8,-0.02335,0.286712
0.801,-0.024947,0.286514
0.802,-0.026543,0.286312
