Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.20E-06
Filter Frequency,2.00E+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.03E-02,-0.045
-3.03E-02,0.015
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,0.015
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.02E-02,0.015
-3.02E-02,0.015
-3.02E-02,-0.045
-3.02E-02,0.015
-3.02E-02,-0.045
-3.02E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,-0.045
-3.01E-02,0.015
-3.01E-02,0.015
-3.01E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,0.015
-3.00E-02,0.015
-3.00E-02,0.015
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,-0.045
-3.00E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,0.015
-2.99E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,-0.045
-2.99E-02,0.015
-2.99E-02,0.735
-2.99E-02,1.695
-2.99E-02,2.655
-2.99E-02,3.675
-2.99E-02,4.815
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.99E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,4.995
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.98E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,4.995
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.97E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.96E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.95E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.94E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
